Wall time,Step,Value
1704849627.6694045,3000,0.0
1704849814.8232925,6000,0.0
1704850003.2726352,9000,0.0
1704850192.987138,12000,0.0
1704850383.2932844,15000,0.0
1704850573.7557724,18000,0.0
1704850764.056075,21000,0.0
1704850954.3183045,24000,0.0
1704851144.2654655,27000,0.0
1704851334.278119,30000,0.0
1704851524.6595018,33000,0.0
1704851715.861814,36000,0.0
1704851907.208978,39000,0.0
1704852098.9982502,42000,0.0
1704852290.5362966,45000,0.0
1704852482.1873198,48000,0.0
1704852673.7910962,51000,0.0
1704852865.3073628,54000,0.0
1704853056.850086,57000,0.0
1704853248.5822263,60000,0.0
1704853440.8848271,63000,0.0
1704853633.1936648,66000,0.0
1704853825.523372,69000,0.0
1704854018.2144809,72000,0.0
1704854210.6769063,75000,0.0
1704854403.0735447,78000,0.0
1704854595.793297,81000,0.0
1704854788.594951,84000,0.0
1704854981.1907876,87000,0.0
1704855173.8649964,90000,0.0
1704855366.297372,93000,0.0
1704855559.3791153,96000,0.0
1704855752.1386974,99000,0.0
1704855945.9436684,102000,0.0
1704856138.6564016,105000,0.0
1704856332.5428,108000,0.0
1704856525.968744,111000,0.0
1704856719.2114484,114000,0.0
1704856912.7869556,117000,0.0
1704857106.3362744,120000,0.0
1704857299.962175,123000,0.0
1704857493.645615,126000,0.0
1704857686.26738,129000,0.0
1704857880.225909,132000,0.0
1704858074.1877778,135000,0.0
1704858268.2577853,138000,0.0
1704858461.6901507,141000,0.0
1704858656.3247857,144000,0.0
1704858850.388144,147000,0.0
1704859044.561058,150000,0.0
1704859239.534512,153000,0.0
1704859434.0883853,156000,0.0
1704859628.391798,159000,0.0
1704859823.1679447,162000,0.0
1704860017.0759614,165000,0.0
1704860211.5725982,168000,0.0
1704860405.514354,171000,0.0
1704860599.9888327,174000,0.0
1704860794.3954663,177000,0.0
1704860989.8559341,180000,0.0
1704861184.4153967,183000,0.0
1704861379.9339092,186000,0.0
1704861575.079899,189000,0.0
